"","Soil","Phylum","otu","mean","sd","se"
"52","Conv.","p__WCHB1-60","OTU_2475",0.000243339232268735,0.000234459539582982,2.27727236091744e-05
"53","Conv.","p__WD272","OTU_5519",7.87962927043164e-06,2.39861421802012e-05,2.32974007921206e-06
"54","Conv.","p__Woesearchaeota (DHVEG-6)","OTU_5595",0.000186132808104445,0.000187480381011752,1.82097043546068e-05
"55","Div.","p__Acidobacteria","OTU_17",0.150766706282364,0.0297787435002599,0.00287881979396326
"56","Div.","p__Actinobacteria","OTU_34",0.0879048112315641,0.0330686414722465,0.00319686623543894
"57","Div.","p__Aenigmarchaeota","OTU_18078",9.10042903035779e-07,7.36610289957497e-06,7.12108045508418e-07
"58","Div.","p__Aerophobetes","OTU_5288",2.1851668241563e-05,4.5327534694013e-05,4.38197817471856e-06
"59","Div.","p__Aminicenantes","OTU_7261",6.79925479099017e-06,1.66297213224929e-05,1.60765584051146e-06
"60","Div.","p__Armatimonadetes","OTU_359",0.00486383249675755,0.00177180691820437,0.000171287039937171
"61","Div.","p__Bacteroidetes","OTU_4",0.149325794577272,0.0658916745589396,0.00636998861204488
"62","Div.","p__Candidate division OP3","OTU_3338",0.000485289480496374,0.000378309934522924,3.65726017871786e-05
"63","Div.","p__Candidate division SR1","OTU_9059",1.25873244346341e-05,3.46900300273251e-05,3.35361178335049e-06
"64","Div.","p__Candidate division WS6","OTU_6584",5.76145937643442e-06,1.91296372253221e-05,1.84933183279251e-06
"65","Div.","p__Chlamydiae","OTU_1136",0.00116415131090405,0.000646967461921046,6.25447052664336e-05
"66","Div.","p__Chlorobi","OTU_470",0.00198880682214026,0.000688800969301247,6.65889030713537e-05
"67","Div.","p__Chloroflexi","OTU_75",0.0291871703924139,0.00977473818967526,0.000944959607882722
"68","Div.","p__Cloacimonetes","OTU_7427",5.32643064918807e-06,1.97267950466566e-05,1.90706125835282e-06
"69","Div.","p__Cyanobacteria","OTU_1364",0.00130111642371338,0.000950243711121913,9.1863526902772e-05
"70","Div.","p__Deferribacteres","OTU_13340",1.81514666748639e-06,9.82923392096724e-06,9.50227909076441e-07
"71","Div.","p__Deinococcus-Thermus","OTU_1575",7.2598035931534e-05,0.000144195298193108,1.39398856312098e-05
"72","Div.","p__Diapherotrites","OTU_4289",4.91495526918058e-06,1.41529709924489e-05,1.36821934868052e-06
"73","Div.","p__Elusimicrobia","OTU_1530",0.00225433245029771,0.000818240531134672,7.91022978263992e-05
"74","Div.","p__Euryarchaeota","OTU_1270",0.000309098647074612,0.000236623134257893,2.28752218039456e-05
"75","Div.","p__Fibrobacteres","OTU_1719",0.000487577189992893,0.000521746457312243,5.04391338314051e-05
"76","Div.","p__Firmicutes","OTU_82",0.0109324692929036,0.00616660895911948,0.00059614858944567
"77","Div.","p__Fusobacteria","OTU_22775",3.34351470056977e-06,1.40829457760828e-05,1.36144975549907e-06
"78","Div.","p__Gemmatimonadetes","OTU_79",0.0188843370182743,0.00543597385933888,0.000525515428332128
"79","Div.","p__GOUTA4","OTU_2696",2.30253457538501e-05,3.422705426683e-05,3.30885422722907e-06
"80","Div.","p__Gracilibacteria","OTU_6036",0.000145789053302124,0.000110274714750903,1.066065905688e-05
"81","Div.","p__Hydrogenedentes","OTU_303",0.000810326187172874,0.00047195375769766,4.56254918708544e-05
"82","Div.","p__JL-ETNP-Z39","OTU_1420",5.70238042824485e-05,0.000105496722987683,1.01987531586936e-05
"83","Div.","p__Kazan-3B-09","OTU_14563",2.13945800254638e-07,2.2130725660913e-06,2.13945800254638e-07
"84","Div.","p__Latescibacteria","OTU_436",0.00491270637008463,0.00189280578036274,0.000182984441455321
"85","Div.","p__Lentisphaerae","OTU_2715",4.06679843014211e-05,4.25733737047612e-05,4.11572338221698e-06
"86","Div.","p__Marinimicrobia (SAR406 clade)","OTU_6810",5.3170501432879e-06,1.72255139290711e-05,1.66525328577974e-06
"87","Div.","p__Microgenomates","OTU_2097",0.000400196123920747,0.000260381492516618,2.51720289887985e-05
"88","Div.","p__Mollusca","OTU_2135",7.19710903371192e-06,1.83003379838813e-05,1.76916044908864e-06
"89","Div.","p__Nitrospirae","OTU_7",0.0132384684195831,0.00509535412226238,0.000492586475460028
"90","Div.","p__Omnitrophica","OTU_4521",0.000213888059910634,0.00017917248052415,1.73212574755519e-05
"91","Div.","p__Parcubacteria","OTU_2167",0.000960400807297947,0.000644784391339298,6.23336598674798e-05
"92","Div.","p__Parvarchaeota","OTU_22487",0,0,0
"93","Div.","p__PAUC34f","OTU_8694",6.04458378423191e-06,1.5476197282154e-05,1.49614046243276e-06
"94","Div.","p__Planctomycetes","OTU_53",0.0343353808356119,0.0100379581915089,0.000970406045924646
"95","Div.","p__Proteobacteria","OTU_28",0.289064928001984,0.0640755163348358,0.00619441396953272
"96","Div.","p__Saccharibacteria","OTU_940",0.000536200781291406,0.000528901597053376,5.11308472986025e-05
"97","Div.","p__SHA-109","OTU_2264",9.02140401224434e-05,7.94883362099845e-05,7.68442750677217e-06
"98","Div.","p__SM2F11","OTU_3307",0.000166788463567985,0.000147207597059819,1.42310955542458e-05
"99","Div.","p__Spirochaetae","OTU_1283",0.000198113213273014,0.00026811416434931,2.59195745906464e-05
"100","Div.","p__TA06","OTU_5749",5.51538197934939e-06,2.87883217309239e-05,2.78307210756703e-06
"101","Div.","p__Tenericutes","OTU_1200",0.000170856297807147,0.000272167682398687,2.63114429713802e-05
"102","Div.","p__Thaumarchaeota","OTU_3",0.0447771619946658,0.0169976647516084,0.00164322627439451
"103","Div.","p__Thermotogae","OTU_5375",7.83155895404265e-06,1.76274346926597e-05,1.70410843256635e-06
"104","Div.","p__TM6","OTU_1615",0.000747082671846842,0.000401606166934411,3.88247335801259e-05
"105","Div.","p__Verrucomicrobia","OTU_2",0.148799587334266,0.0363939746643446,0.00351833832894253
"106","Div.","p__WCHB1-60","OTU_2475",0.000146552061474878,9.7281671299136e-05,9.40457413602211e-06
"107","Div.","p__WD272","OTU_5519",4.68928244917026e-06,2.131616451426e-05,2.06071140424355e-06
"108","Div.","p__Woesearchaeota (DHVEG-6)","OTU_5595",0.000136431787202044,0.000130209541511546,1.25878315001118e-05
